회사명|종목코드|업종|주요제품
싸이토젠|217330|자연과학 및 공학 연구개발업|CTC 기반 Liquid Biopsy 응용사업 및 플랫폼
아주IB투자|027360|기타 금융업|
파멥신|208340|의약품 제조업|항체치료제
디케이앤디|263020|플라스틱제품 제조업|합성피혁 및 부직포
에이치앤비디자인|227100|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|스마트 액세서리(보조배터리 등)
노바렉스|194700|기타 식품 제조업|건강기능식품 제조
셀리버리|268600|자연과학 및 공학 연구개발업|바이오의약품[iCP-Parkin(파킨슨병 치료제)]및 연구용 시약
대보마그네틱|290670|기타 전기장비 제조업|전자석탈철기, 자력선별기
노바텍|285490|그외 기타 제품 제조업|Magnet, Shield Magnet, 심재
엘앤씨바이오|290650|의약품 제조업|인체조직(피부, 뼈, 연골)
네온테크|306620|특수 목적용 기계 제조업|기업인수합병
로보티즈|108490|특수 목적용 기계 제조업|솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼
옵티팜|153710|의료용품 및 기타 의약 관련제품 제조업|옵티케어,메디피그 등
에스퓨얼셀|288620|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|건물용 연료전지, 발전용 연료전지
나우IB|293580|기타 금융업|투자조합, PEF 결성 및 투자
푸드나무|290720|무점포 소매업|
크리스에프앤씨|110790|봉제의복 제조업|골프웨어
더블유에스아이|299170|생활용품 도매업|기업인수합병
지티지웰니스|219750|의료용 기기 제조업|의료기기 및 미용기기
명성티엔에스|257370|특수 목적용 기계 제조업|2차전지 분리막 제조설비, 디스플레이용 생산설비
엔피|291230|기타 사업지원 서비스업|브랜드 익스피어리언스, XR 콘텐츠, 메타버스
디지캡|197140|소프트웨어 개발 및 공급업|보호솔루션, 방송서비스솔루션 등
지니틱스|303030|반도체 제조업|반도체 IC
액트로|290740|전자부품 제조업|모바일용 액츄에이터 및 조립자동화 설비
오파스넷|173130|컴퓨터 프로그래밍, 시스템 통합 및 관리업|네트워크 구축 및 유지보수
에이피티씨|089970|특수 목적용 기계 제조업|300mm Poly Etch System
바이오솔루션|086820|기초 의약물질 및 생물학적 제제 제조업|세포치료제, 인체조직모델 등
대유|290380|비료, 농약 및 살균, 살충제 제조업|4종복합비료, 농약
디아이티|110990|특수 목적용 기계 제조업|평판디스플레이 검사장비
에스에스알|275630|소프트웨어 개발 및 공급업|취약점 진단 솔루션, 모의해킹 컨설팅
휴네시온|290270|소프트웨어 개발 및 공급업|망간자료전송(i-oneNet)
한국유니온제약|080720|의약품 제조업|항생제, 순환기계, 근골격계, 소화기계류 완제의약품
그리티|204020|봉제의복 제조업|내의(원더브라, 플레이텍스, 미싱도로시, 르페)
알로이스|297570|통신 및 방송 장비 제조업|안드로이드 OTT 멀티미디어 디바이스
올릭스|226950|자연과학 및 공학 연구개발업|siRNA 신약 개발
아이큐어|175250|의약품 제조업|플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인
SV인베스트먼트|289080|기타 금융업|중소/벤처기업 투자 및 육성
EDGC|245620|자연과학 및 공학 연구개발업|유전체 분석 진단 서비스
카이노스메드|284620|자연과학 및 공학 연구개발업|기업인수합병
파워넷|037030|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|전력변환장치
현대사료|016790|동물용 사료 및 조제식품 제조업|양계, 양돈 배합사료
세종메디칼|258830|의료용 기기 제조업|복강경수술용 투관침 등
제노레이|122310|의료용 기기 제조업|의료용 방사선 진단기기
제이시스메디칼|287410|의료용 기기 제조업|미용의료기기
JTC|950170|종합 소매업|식품류, 생활용품류, 화장품류 (사후면세업)
네오셈|253590|특수 목적용 기계 제조업|반도체 검사장비
케어랩스|263700|소프트웨어 개발 및 공급업|헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션
유네코|064510|특수 목적용 기계 제조업|SAP
린드먼아시아|277070|신탁업 및 집합투자업|투자조합, PEF 결성 및 투자
오스테오닉|226400|의료용 기기 제조업|골접합 및 재건용 금속소재 및 생체복합재료 기반 임플란트
엔지켐생명과학|183490|기초 의약물질 및 생물학적 제제 제조업|EC-18(신약), 원료의약품
동구바이오제약|006620|의약품 제조업|피부, 비뇨기과 완제의약품
아시아종묘|154030|작물 재배업|종자
알리코제약|260660|의료용품 및 기타 의약 관련제품 제조업|완제 의약품
카페24|042000|자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업|쇼핑몰솔루션, 광고솔루션, 호스팅솔루션
링크제니시스|219420|소프트웨어 개발 및 공급업|반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)
배럴|267790|봉제의복 제조업|래쉬가드 및 워터스포츠 등
SG|255220|기타 비금속 광물제품 제조업|아스콘, 레미콘
씨앤지하이테크|264660|특수 목적용 기계 제조업|약액혼합공급장치, 화학약품재생장치
시스웍|269620|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|클린룸 제어시스템, BLDC모터, 공조장치 제어기 등
디바이스이엔지|187870|특수 목적용 기계 제조업|OLED용 FM MASK 세정장비
레이크머티리얼즈|281740|기타 화학제품 제조업|LED, 반도체 소재 및 석유화학촉매
씨티케이|260930|기타 화학제품 제조업|완제 화장품 (색조 및 기초)
메카로|241770|기타 화학제품 제조업|반도체용 전구체 및 히터블록
에스트래픽|234300|컴퓨터 프로그래밍, 시스템 통합 및 관리업|교통관련 솔루션 개발, 시스템통합 S/W 개발
체리부로|066360|도축, 육류 가공 및 저장 처리업|육계, 사료
대원|007680|건물 건설업|아파트 시행 및 시공
비즈니스온|138580|소프트웨어 개발 및 공급업|전자세금계산서 발행서비스(스마트빌)
스튜디오드래곤|253450|영화, 비디오물, 방송프로그램 제작 및 배급업|드라마 제작, 판매
비디아이|148140|일반 목적용 기계 제조업|탈황설비, 전기집진기, 회처리 및 회정제설비
코오롱티슈진|950160|기초 의약물질 및 생물학적 제제 제조업|골관절염 치료제
영화테크|265560|자동차 신품 부품 제조업|자동차 정션박스 등
세원|234100|자동차 신품 부품 제조업|자동차 공조장치 부품
상신전자|263810|전자부품 제조업|노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)
야스|255440|특수 목적용 기계 제조업|OLED 증착기, OLED 증착원
인산가|277410|기타 식품 제조업|죽염 및 죽염응용식품
휴온스블러썸|263920|그외 기타 제품 제조업|화장용 스펀지, 퍼프
신흥에스이씨|243840|일차전지 및 축전지 제조업|2차전지용 안전 부품(Cap Assembly, CID)
유티아이|179900|전자부품 제조업|카메라 윈도우
선익시스템|171090|특수 목적용 기계 제조업|OLED 증착장비
엠플러스|259630|특수 목적용 기계 제조업|이차전지 자동화 조립설비
앱클론|174900|의료용품 및 기타 의약 관련제품 제조업|항체의약품
샘코|263540|항공기,우주선 및 부품 제조업|도어시스템
펄어비스|263750|소프트웨어 개발 및 공급업|온라인게임 개발 서비스(검은사막)
케이피에스|256940|특수 목적용 기계 제조업|OLED 마스크 인장기
덕우전자|263600|전자부품 제조업|카메라 모듈 부품
이더블유케이|258610|구조용 금속제품, 탱크 및 증기발생기 제조업|지열발전설비(열수기화기, 응축기 등)
지엔원에너지|270520|건축기술, 엔지니어링 및 관련 기술 서비스업|지열냉난방시스템
알에스오토메이션|140670|전자부품 제조업|모션제어기, 드라이브, 에너지제어장치
컬러레이|900310|기타 금융업|화장품용 진주광택안료
와이즈버즈|273060|광고업|광고대행
모트렉스|118990|자동차 신품 부품 제조업|차량용 인포테인먼트
데이타솔루션|263800|기계장비 및 관련 물품 도매업|EMC스토리지, SPSS, SI
지니언스|263860|소프트웨어 개발 및 공급업|네트워크 접근 제어 솔루션(NAC), 단말기반 지능형 위협 탐지 대응 솔루션(EDR)
디앤씨미디어|263720|서적, 잡지 및 기타 인쇄물 출판업|웹소설 콘텐츠
셀트리온헬스케어|091990|기타 전문 도매업|바이오의약품 마케팅 및 판매
이즈미디어|181340|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|카메라모듈테스터
힘스|238490|특수 목적용 기계 제조업|OLED Mask 인장기, OLED Mask 검사기 등
브이원텍|251630|특수 목적용 기계 제조업|LCD/OLED 압흔검사기, 2차전지 검사장비
아우딘퓨쳐스|227610|기타 화학제품 제조업|기초화장품, 마스크팩 등
이녹스첨단소재|272290|전자부품 제조업|FPCB소재, 반도체 및 디스플레이 소재
하림지주|003380|기타 금융업|지주사업
덴티스|261200|의료용 기기 제조업|임플란트외
나인테크|267320|특수 목적용 기계 제조업|이차전지 제조 장비
보라티알|250000|음·식료품 및 담배 도매업|유가공품, 소스류, 파스타류
매일유업|267980|낙농제품 및 식용빙과류 제조업|유제품(우유, 분유, 발효유, 치즈, 음료 등)
삼양옵틱스|225190|사진장비 및 광학기기 제조업|디지털 카메라용 교환렌즈
이랜시스|264850|전자부품 제조업|비데도어락부품
필옵틱스|161580|특수 목적용 기계 제조업|디스플레이 및 반도체 제조공정용 제작
포인트엔지니어링|256630|기타 금속 가공제품 제조업|디스플레이 및 반도체 장비 부품
하나머티리얼즈|166090|반도체 제조업|실리콘부품, 세라믹부품, 특수가스
소프트캠프|258790|소프트웨어 개발 및 공급업|통합보안솔루션
와이엠티|251370|기초 화학물질 제조업|PCB, 반도체 및 디스플레이 제조용 화학소재 등
AP시스템|265520|특수 목적용 기계 제조업|디스플레이 제조 장비
유에스티|263770|1차 철강 제조업|스테인레스강관
이엘피|063760|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|OLED 패널검사기 등
유비쿼스|264450|통신 및 방송 장비 제조업|스위치, FTTH
서진시스템|178320|통신 및 방송 장비 제조업|통신장비부품,휴대폰부품(메탈케이스 등)
코미코|183300|특수 목적용 기계 제조업|반도체 부품 세정 및 코팅
아스타|246720|의료용품 및 기타 의약 관련제품 제조업|MALDI-TOF 질량분석기 기반 진단시스템
에스디생명공학|217480|기타 화학제품 제조업|마스크팩, 기초화장품
신신제약|002800|의약품 제조업|파스류 (신신파스 아렉스 등)
에프엔에스테크|083500|특수 목적용 기계 제조업|OLED, LCD 제조 공정 장비
모바일어플라이언스|087260|소프트웨어 개발 및 공급업|블랙박스, 내비게이션, HUD, ADAS
피씨엘|241820|의료용품 및 기타 의약 관련제품 제조업|다중 체외진단 제품, 플랫폼서비스
서플러스글로벌|140070|기계장비 및 관련 물품 도매업|반도체 제조용 장비, 유휴기계설비 도소매
유바이오로직스|206650|의약품 제조업|경구용 콜레라 백신, 바이오의약품 수탁 연구 및 제조
한국비엔씨|256840|기초 의약물질 및 생물학적 제제 제조업|필러 등 생체재료의료물질 개발
DSC인베스트먼트|241520|신탁업 및 집합투자업|투자조합 결성 및 투자
TS인베스트먼트|246690|신탁업 및 집합투자업|투자조합 결성 및 투자
마이크로프랜드|147760|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|반도체 검사용 프로브카드
애니젠|196300|기초 의약물질 및 생물학적 제제 제조업|펩타이드 바이오소재 및 아미노산 펩타이드 신약
유니온커뮤니티|203450|통신 및 방송 장비 제조업|지문인식출입통제기
신라젠|215600|자연과학 및 공학 연구개발업|펙사벡(바이러스 항암면역치료제)
자비스|254120|특수 목적용 기계 제조업|자동엑스레이검사장비
오션브릿지|241790|특수 목적용 기계 제조업|반도체 케미칼 및 특수가스, 반도체 장비
퓨쳐켐|220100|의약품 제조업|PET 방사성의약품, 자동합성장치, 합성시약 및 전구체
뉴파워프라즈마|144960|특수 목적용 기계 제조업|플라즈마 세정기(Remote Plasma Cleaning Generator)
엘앤케이바이오|156100|의료용 기기 제조업|척추 임플란트
에이치엔티|176440|전자부품 제조업|휴대폰 카메라 모듈
핸디소프트|220180|소프트웨어 개발 및 공급업|EKP, BPM, 네트워크장비
클리오|237880|기타 화학제품 제조업|색조화장품, 기초화장품
오가닉티코스메틱|900300|기타 금융업|유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)
얼라인드|238120|사진장비 및 광학기기 제조업|자동세포카운팅시스템, 생체조직투명화시스템, 디지털세포이미징시스템
세화피앤씨|252500|기타 화학제품 제조업|염모제 등
인크로스|216050|광고업|미디어렙서비스
에이치엘사이언스|239610|기타 식품 제조업|건강기능식품 등
코스메카코리아|241710|기타 화학제품 제조업|화장품 OEM, ODM
GRT|900290|기타 금융업|광학필름, 포장필름
골든센츄리|900280|기타 금융업|트랙터용 휠 및 타이어
인텔리안테크|189300|통신 및 방송 장비 제조업|위성통신 안테나, 해상용 위성방송 수신안테나
에이치시티|072990|기타 과학기술 서비스업|기술검사서비스
잉글우드랩|950140|기타 화학제품 제조업|화장품OEM·ODM
앤디포스|238090|플라스틱제품 제조업|TSP용 양면 테이프, 윈도우 필름
수산아이앤티|050960|소프트웨어 개발 및 공급업|공유단말접속관리서비스, 보안솔루션 등
미투온|201490|소프트웨어 개발 및 공급업|소셜 카지노 게임
예선테크|250930|플라스틱제품 제조업|기업인수합병
유니테크노|241690|자동차 신품 부품 제조업|자동차 엔진파워트레인/모터 부품 제조 및 조립
모비스|250060|컴퓨터 프로그래밍, 시스템 통합 및 관리업|기업인수합병
나무기술|242040|소프트웨어 개발 및 공급업|응용소프트웨어 개발 및 공급업
자이글|234920|가정용 기기 제조업|적외선 가열 조리기
헝셩그룹|900270|기타 금융업|자회사 제품 : 아동용 완구 및 아동복 등
에코마케팅|230360|광고업|온라인, 모바일 광고 종합대행업
엔지스테크널러지|208860|소프트웨어 개발 및 공급업|Nav-Link 솔루션, BringGo 어플리케이션 등
우리손에프앤지|073560|도축, 육류 가공 및 저장 처리업|양돈업, 도축업
폴라리스웍스|123010|전자부품 제조업|이미지센서 패키징
장원테크|174880|통신 및 방송 장비 제조업|스마트폰 및 태블릿PC Bracket
위니아딤채|071460|가정용 기기 제조업|김치냉장고, 에어컨, 냉장고, 에어가전, 세탁가전 등
바이오리더스|142760|자연과학 및 공학 연구개발업|자궁경부상피이형증 치료제, 자궁경부전암 치료백신
피앤씨테크|237750|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|배전자동화단말장치
로스웰|900260|기타 금융업|CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈
에스티팜|237690|의약품 제조업|원료의약품
지씨셀|144510|그외 기타 전문, 과학 및 기술 서비스업|세포치료제, 검체검사서비스, 제대혈은행
알엔투테크놀로지|148250|전자부품 제조업|이동통신부품(커플러), 의료기기용기판, 파우더
줌인터넷|239340|자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업|줌닷컴, 뉴썸 등
휴온스|243070|의약품 제조업|전문의약품, 일반의약품
원익IPS|240810|특수 목적용 기계 제조업|반도체 제조용 기계
레이언스|228850|의료용 기기 제조업|TFT Detector, CMOS Detector, I/O Sensor
씨엠에스에듀|225330|일반 교습 학원|융합사고력 프로그램
동양파일|228340|시멘트, 석회, 플라스터 및 그 제품 제조업|PHC파일
팬젠|222110|의약품 제조업|바이오시밀러 의약품 개발, 바이오의약품 개발 기술이전 서비스 등
AP위성|211270|통신 및 방송 장비 제조업|위성통신 단말기
에이트원|230980|소프트웨어 개발 및 공급업|VR기반 교육훈련용솔루션
큐리언트|115180|자연과학 및 공학 연구개발업|저분자 혁신신약
안트로젠|065660|기타 전문 도매업|줄기세포치료제
슈프리마|236200|통신 및 방송 장비 제조업|바이오인식 관련 제품
유니트론텍|142210|자동차 부품 및 내장품 판매업|메모리/비메모리반도체, 디스플레이 모듈
크리스탈신소재|900250|기타 금융업|합성운모 플레이크, 파우더, 테이프
에스와이|109610|구조용 금속제품, 탱크 및 증기발생기 제조업|샌드위치 패널
코디엠|224060|특수 목적용 기계 제조업|반도체 및 평판디스플레이 제조용 장비(IRIS, LOZIX, HP/CP)
와이아이케이|232140|특수 목적용 기계 제조업|메모리 웨이퍼 테스터
육일씨엔에쓰|191410|전자부품 제조업|IT용 Cover Glass
커머스마이너|223310|소프트웨어 개발 및 공급업|블랙박스, 내비게이션, 로봇청소기, 드론
휴젤|145020|기초 의약물질 및 생물학적 제제 제조업|보툴리눔톡신, 필러
한국맥널티|222980|기타 식품 제조업|커피 및 의약품
덱스터|206560|영화, 비디오물, 방송프로그램 제작 및 배급업|시각효과(Visual Effect, VFX)
아진산업|013310|자동차 신품 부품 제조업|자동차 차체 부품
HLB제약|047920|자연과학 및 공학 연구개발업|씨트리시메티딘정, 로자틴정
강스템바이오텍|217730|기초 의약물질 및 생물학적 제제 제조업|줄기세포치료제
메가엠디|133750|일반 교습 학원|의학, 치의학, 법학 전문대학원, 약학대학 입학시험 대비 강의
보광산업|225530|기타 비금속 광물제품 제조업|콘크리트용 부순골재, 아스콘, 레미콘
파크시스템스|140860|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|연구용 및 산업용 원자현미경
에치에프알|230240|통신 및 방송 장비 제조업|유선 및 무선통신장비 제조 및 제조서비스
예스티|122640|특수 목적용 기계 제조업|반도체 및 디스플레이 제조 장비
코스맥스엔비티|222040|기타 식품 제조업|건강기능식품
멕아이씨에스|058110|의료용 기기 제조업|인공호흡기
엔에스|217820|특수 목적용 기계 제조업|2차전지 자동화 설비
하이즈항공|221840|항공기,우주선 및 부품 제조업|B787 날개구조물 등
디엑스앤브이엑스|180400|기타 과학기술 서비스업|BAC DNA CHIP
매직마이크로|127160|전자부품 제조업|LED 리드프레임, LED PKG
케이디켐|221980|기타 화학제품 제조업|PVC 안정제
네오오토|212560|자동차 신품 부품 제조업|피니언 기어, 디프 어셈블리, 대형기어
엔투텍|227950|특수 목적용 기계 제조업|반도체장비 부품 제조업
케어젠|214370|기초 의약물질 및 생물학적 제제 제조업|성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품
아이진|185490|자연과학 및 공학 연구개발업|당뇨성망막병증 치료제, 욕창치료제, 자궁경부암 예방 백신 등
나무가|190510|전자부품 제조업|스마트폰 카메라모듈, 노트북 카메라모듈
유앤아이|056090|의료용 기기 제조업|정형외과용 신체보정용 의료기기
본느|226340|기타 화학제품 제조업|기업인수합병
연우|115960|플라스틱제품 제조업|화장품 용기
엔케이맥스|182400|기초 의약물질 및 생물학적 제제 제조업|연구용 시약, NK Vue® KIT, SuperNK
KH E&T|226360|토목 건설업|기업인수합병
엑시콘|092870|특수 목적용 기계 제조업|반도체 검사장비
뉴지랩파마|214870|기계장비 및 관련 물품 도매업|CCTV 카메라
케이엠제약|225430|기타 화학제품 제조업|구강제품, 화장품,기타 생활용품
한송네오텍|226440|특수 목적용 기계 제조업|OLED FMM 인장기
패션플랫폼|225590|봉제의복 제조업|여성복
넷게임즈|225570|소프트웨어 개발 및 공급업|기업인수합병
제너셈|217190|특수 목적용 기계 제조업|반도체 후공정 장비
타이거일렉|219130|전자부품 제조업|인쇄회로기판 제조업
인포마크|175140|통신 및 방송 장비 제조업|웨어러블 디바이스, 모바일 라우터
씨아이에스|222080|특수 목적용 기계 제조업|2차전지 제조설비
맘스터치|220630|음·식료품 및 담배 도매업|햄버거, 치킨, 식음료유통
에이텍티앤|224110|통신 및 방송 장비 제조업|교통카드단말기
웹스|196700|합성고무 및 플라스틱 물질 제조업|기능성 컴파운드, 건축외장자재
파인텍|131760|특수 목적용 기계 제조업|OLED 제조장비
마이더스AI|222810|소프트웨어 개발 및 공급업|보안솔루션 개발 외
심텍|222800|전자부품 제조업|반도체용 인쇄회로기판
흥국에프엔비|189980|비알코올음료 및 얼음 제조업|과일음료(에이드베이스, 스무디, 착즙쥬스 등)
쎄노텍|222420|기타 비금속 광물제품 제조업|세라믹 비드
칩스앤미디어|094360|반도체 제조업|비디오 IP
아시아경제|127710|자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업|광고 및 콘텐츠
아이쓰리시스템|214430|전자부품 제조업|적외선 영상센서, 엑스레이 영상센서
로지시스|067730|컴퓨터 프로그래밍, 시스템 통합 및 관리업|전산장비 판매 및 유지보수, VAN기기 대행관리
켐트로스|220260|기타 화학제품 제조업|기타화학제품 제조업
파마리서치|214450|의료용품 및 기타 의약 관련제품 제조업|재생의약품
디와이디|219550|생활용품 도매업|화장품 유통
펩트론|087010|기초 의약물질 및 생물학적 제제 제조업|약효지속성 의약품 및 펩타이드 소재
RFHIC|218410|통신 및 방송 장비 제조업|GaN 트랜지스터
동운아나텍|094170|반도체 제조업|아날로그 반도체
민앤지|214180|기타 정보 서비스업|휴대폰부가서비스
유테크|178780|상품 종합 도매업|도광판, 몰드프레임
이큐셀|160600|특수 목적용 기계 제조업|진공합착기, NPS
켐온|217600|자연과학 및 공학 연구개발업|비임상연구시험대행
코아스템|166480|의약품 제조업|줄기세포 치료제
에스엘바이오닉스|214310|반도체 제조업|LED Chip
베셀|177350|특수 목적용 기계 제조업|디스플레이 제조장비
넵튠|217270|소프트웨어 개발 및 공급업|모바일게임
미래생명자원|218150|동물용 사료 및 조제식품 제조업|동물용 사료 및 조제식품 제조업
싸이맥스|160980|특수 목적용 기계 제조업|웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)
러셀|217500|특수 목적용 기계 제조업|반도체장비 리퍼비시
픽셀플러스|087600|전자부품 제조업|CMOS 이미지센서 및 칩셋
디딤|217620|음식점업|직영음식점, 축산물가공, 프랜차이즈
제노포커스|187420|기초 의약물질 및 생물학적 제제 제조업|산업용 효소
우정바이오|215380|자연과학 및 공학 연구개발업|동물실험,CRO서비스,사육장비,세척장비등
토박스코리아|215480|섬유, 의복, 신발 및 가죽제품 소매업|유아동 신발
이노인스트루먼트|215790|통신 및 방송 장비 제조업|기업 인수 합병
우리산업|215360|자동차 신품 부품 제조업|ACTUATOR 등
메가스터디교육|215200|일반 교습 학원|오프라인 학원, 온라인 강의
휴센텍|215090|측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외|■ 회로카드조립체(프로세서보드용)
로보로보|215100|기타 전기장비 제조업|교육용로봇
디알텍|214680|의료용 기기 제조업|X-ray Detector
에이비프로바이오|195990|특수 목적용 기계 제조업|소형 머시닝센터
골프존|215000|소프트웨어 개발 및 공급업|골프시뮬레이터
클래시스|214150|의료용 기기 제조업|미용의료기기
FSN|214270|소프트웨어 개발 및 공급업|카울리
포시에스|189690|소프트웨어 개발 및 공급업|기업용 리포팅 소프트웨어 솔루션(OZ-Report 등)
덕산네오룩스|213420|전자부품 제조업|HTL(정공수송층), HIL(정공주입층), RED HOST
국일신동|060480|1차 비철금속 제조업|황동봉
바디텍메드|206640|의료용품 및 기타 의약 관련제품 제조업|면역진단기기 및 카트리지
스튜디오산타클로스|204630|창작 및 예술관련 서비스업|창작 및 예술관련 서비스업
썸에이지|208640|소프트웨어 개발 및 공급업|소프트웨어 개발 및 공급업
와이제이엠게임즈|193250|전자부품 제조업|휴대폰용 진동모터
에이팩트|200470|그외 기타 전문, 과학 및 기술 서비스업|메모리 반도체 테스트
휴메딕스|200670|의약품 제조업|히알루론산 관절염치료제, 히알루론산 더말필러
바이오로그디바이스|208710|전자부품 제조업|모바일용 카메라모듈 부품외
서전기전|189860|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|수배전반, 전력기기, 전기공사
아스트|067390|항공기,우주선 및 부품 제조업|항공기용 부품 제조 및 동체 조립
오킨스전자|080580|전자부품 제조업|반도체 검사용 소켓
지란지교시큐리티|208350|소프트웨어 개발 및 공급업|보안 소프트웨어
NEW|160550|영화, 비디오물, 방송프로그램 제작 및 배급업|영화 투자 및 배급
아이티센|124500|컴퓨터 프로그래밍, 시스템 통합 및 관리업|시스템통합 및 IT서비스
녹십자엠에스|142280|의료용품 및 기타 의약 관련제품 제조업|혈액백, 진단시약, 혈액투석액
디티앤씨|187220|기타 과학기술 서비스업|전기전자규격 인증서비스
셀바스헬스케어|208370|의료용 기기 제조업|체성분측정기, 혈압계, 점자정보단말기
정다운|208140|도축, 육류 가공 및 저장 처리업|통오리,정육,오리털,훈연육
하이로닉|149980|의료용 기기 제조업|피부미용 의료기기
랩지노믹스|084650|자연과학 및 공학 연구개발업|체외진단 서비스 및 제품
에이디테크놀로지|200710|반도체 제조업|주문형 반도체
비씨월드제약|200780|의약품 제조업|마취통증약, 순환계약, 항생제, 기타처방약
미스터블루|207760|기타 정보 서비스업|온라인 만화 콘텐츠 서비스 및 제공, 만화 출판
알테오젠|196170|자연과학 및 공학 연구개발업|바이오시밀러 및 바이오베터
베노홀딩스|206400|소프트웨어 개발 및 공급업|웹게임, 모바일게임
대창스틸|140520|1차 철강 제조업|냉연강판, 이중바닥재
에프엔씨엔터|173940|창작 및 예술관련 서비스업|콘서트, 음반/음원
휴마시스|205470|의료용품 및 기타 의약 관련제품 제조업|체외진단키트
텔콘RF제약|200230|통신 및 방송 장비 제조업|RF 통신부품(케이블 어셈블리, 커넥터 등)
지엘팜텍|204840|자연과학 및 공학 연구개발업|의약품 연구개발업
글로벌텍스프리|204620|금융 지원 서비스업|환급창구운영사업
디에이테크놀로지|196490|특수 목적용 기계 제조업|2차전지설비
액션스퀘어|205500|소프트웨어 개발 및 공급업|모바일게임
엑셈|205100|소프트웨어 개발 및 공급업|DB, E2E 성능관리 SW
테고사이언스|191420|기초 의약물질 및 생물학적 제제 제조업|피부세포치료제
슈피겐코리아|192440|그외 기타 제품 제조업|핸드폰 케이스, 액정보호필름
테라셈|182690|반도체 제조업|이미지센서 패키징
영우디에스피|143540|특수 목적용 기계 제조업|OLED/LCD 디스플레이 검사장비
드림시큐리티|203650|소프트웨어 개발 및 공급업|정보보안솔루션
메디아나|041920|의료용 기기 제조업|환자감시장치, 자동심장 제세동기(AED)
데브시스터즈|194480|소프트웨어 개발 및 공급업|모바일 게임
프로스테믹스|203690|기초 의약물질 및 생물학적 제제 제조업|화장품
THQ|192410|통신 및 방송 장비 제조업|기지국 안테나, 인바운드플랫폼
고려시멘트|198440|시멘트, 석회, 플라스터 및 그 제품 제조업|시멘트, 레미콘
신화콘텍|187270|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|커넥터(정보통신기기용, 디스플레이용, HDD용 등)
파버나인|177830|전자부품 제조업|알루미늄 소재 TV 외관재(프레임, 스탠드)
덕신하우징|090410|구조용 금속제품, 탱크 및 증기발생기 제조업|일체형 데크플레이트 등
창해에탄올|004650|알코올음료 제조업|주정(발효주정, 정제주정) 등
윈하이텍|192390|구조용 금속제품, 탱크 및 증기발생기 제조업|데크 플레이트(건설용거푸집)
아진엑스텍|059120|반도체 제조업|전자집적회로, 모션제어칩
콜마비앤에이치|200130|기초 의약물질 및 생물학적 제제 제조업|건강기능식품
트루윈|105550|전자부품 제조업|자동차용 센서(APS, TPS, IAPS, SLS)
코아시아옵틱스|196450|사진장비 및 광학기기 제조업|휴대폰용카메라렌즈모듈제조
캐스텍코리아|071850|자동차 신품 부품 제조업|자동차용 터보차저 부품
나노|187790|기초 화학물질 제조업|SCR촉매
케이사인|192250|소프트웨어 개발 및 공급업|
오이솔루션|138080|통신 및 방송 장비 제조업|광트랜시버
한국정보인증|053300|소프트웨어 개발 및 공급업|공인인증서, PKI솔루션 등
솔루에타|154040|전자부품 제조업|전자파 차폐소재
현대이지웰|090850|소프트웨어 개발 및 공급업|선택적복리후생서비스
SGA솔루션즈|184230|소프트웨어 개발 및 공급업|보안솔루션
기가레인|049080|특수 목적용 기계 제조업|RF통신부품 및 반도체 장비
인트로메딕|150840|의료용 기기 제조업|캡슐내시경, 일회용 연성내시경
알티캐스트|085810|소프트웨어 개발 및 공급업|디지털 방송용 소프트웨어(셋톱박스용 미들웨어 등), CAS(수신제한시스템)
현대공업|170030|자동차 신품 부품 제조업|시트패드, 암레스트, 헤드레스트
엔브이에이치코리아|067570|자동차 신품 부품 제조업|헤드라이너, NVH부품
탑코미디어|134580|통신 및 방송 장비 제조업|셋톱박스
